Date	Item	Liters	pH	TDS	Hardness	Turbidity
26-09-2022	Fish	7.03	7.22	402	249	2.44
27-09-2022	Wheat	9.82	8.19	103	156	4.57
27-09-2022	Beef	3.81	8.22	396	140	2.29
28-09-2022	Tomatoes	1.91	6.76	203	265	1.32
28-09-2022	Yogurt	4.74	6.53	414	260	4.56
28-09-2022	Fish	9.96	7.5	405	224	0.71
29-09-2022	Eggs	3.4	7.44	219	103	3.73
29-09-2022	Milk	1.07	8.21	246	176	0.19
30-09-2022	Milk	5.41	7.25	164	182	2.09
01-10-2022	Fish	4.36	6.73	148	57	1.3
01-10-2022	Tomatoes	7.35	7.13	226	52	4.15
01-10-2022	Yogurt	1.54	7.77	90	125	0.52
01-10-2022	Butter	2.34	8.19	229	234	1.96
01-10-2022	Sugar	9.92	7.51	336	206	1.71
02-10-2022	Chicken	4.48	8.3	311	234	3.13
02-10-2022	Beef	1.93	8.39	161	74	0.18
03-10-2022	Yogurt	4.84	8	499	194	2.23
03-10-2022	Wheat	6.61	7.15	437	195	0.29
05-10-2022	Cheese	3	8.44	151	101	2.32
06-10-2022	Fish	8.61	8.36	306	129	2.06
06-10-2022	Yogurt	1.1	7.33	132	237	1.05
06-10-2022	Beef	7.51	8.14	399	180	1.27
07-10-2022	Chicken	6.34	7.49	423	211	2.54
08-10-2022	Tomatoes	9.98	7.84	118	52	0.45
08-10-2022	Yogurt	2.22	8.49	352	211	3.21
09-10-2022	Pork	8.16	7.18	140	285	4.03
09-10-2022	Fish	6.99	7.73	226	300	4.94
09-10-2022	Fish	2.04	7.71	71	67	4.92
09-10-2022	Pork	3.45	7.51	55	75	0.82
09-10-2022	Butter	9.85	8.27	130	262	4.99
09-10-2022	Tomatoes	1.11	7.59	370	207	4.56
10-10-2022	Yogurt	8.75	7.98	492	107	3.74
11-10-2022	Cheese	7.07	7.75	113	55	4.14
11-10-2022	Potatoes	8.2	7.92	89	251	0.11
12-10-2022	Cheese	4.61	7.26	124	254	4.8
12-10-2022	Milk	1.63	8.27	116	253	1.03
12-10-2022	Apples	6.56	7.58	143	99	3.92
12-10-2022	Milk	9.72	8.36	183	127	2.72
12-10-2022	Beef	9.98	8.29	391	84	0.99
13-10-2022	Wheat	8.86	6.77	182	151	2.45
14-10-2022	Coffee	4.34	7.25	301	56	2.51
14-10-2022	Yogurt	9.09	7.27	203	145	0.22
15-10-2022	Apples	4.42	7.21	324	52	3.53
